pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_spectype,st_teff,st_rad,st_mass,st_met,sy_dist,st_spectype_main,st_spectype_encoded,Habitability_Score,temp_deviance,rad_deviance,Stellar_Compatibility,Is_Habitable
55 Cnc b,55 Cnc,2.0,7.0,Radial Velocity,1996.0,14.647,2.3,191.96932,797.0,0.115,G0 V,5613.0,0.951815,0.959,-0.0039,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc b,55 Cnc,2.0,7.0,Radial Velocity,1996.0,14.465314,2.3,191.96932,797.0,0.11339,G0 V,5250.0,0.963515,0.9,0.35,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc b,55 Cnc,2.0,7.0,Radial Velocity,1996.0,14.653,2.3,191.96932,797.0,0.115,G8 V,5613.0,0.951815,0.95,0.27,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc b,55 Cnc,2.0,7.0,Radial Velocity,1996.0,14.65152,2.3,191.96932,797.0,0.11522725,G0 V,5613.0,0.951815,0.95,-0.0039,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc b,55 Cnc,2.0,7.0,Radial Velocity,1996.0,14.65162,2.3,191.96932,797.0,0.115,G0 V,5250.0,0.963515,0.9,0.35,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc b,55 Cnc,2.0,7.0,Radial Velocity,1996.0,14.651,2.3,191.96932,797.0,0.1134,G0 V,5250.0,0.963515,0.9,0.35,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc b,55 Cnc,2.0,7.0,Radial Velocity,1996.0,14.65126,2.3,191.96932,797.0,0.1138,G0 V,5250.0,0.963515,0.9,0.35,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc b,55 Cnc,2.0,7.0,Radial Velocity,1996.0,14.65171,2.3,191.96932,797.0,0.1162,G0 V,5317.89,0.964411,0.974708,0.3833,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc b,55 Cnc,2.0,7.0,Radial Velocity,1996.0,14.6516,2.3,191.96932,797.0,0.1134,G0 V,5172.0,0.943,0.905,0.35,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc b,55 Cnc,2.0,7.0,Radial Velocity,1996.0,14.6,2.3,191.96932,700.0,0.113,K0 IV-V,5613.0,0.951815,0.959,-0.0039,12.5855,K,4,0.2680565897244974,1.4305555555555556,1.2999999999999998,1.0,0
55 Cnc b,55 Cnc,2.0,7.0,Radial Velocity,1996.0,14.651552,2.3,191.96932,797.0,0.118,G8 V,5198.0,0.98,1.015,0.39,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
