pl_orbper,pl_orbsmax,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,st_lum,pl_rade,pl_insol,temp_score,radius_score,insol_score,habitability_score,habitability_label
51.111,0.287,34.9,492.0,4965.0,2.861,1.227,0.64933,3.268,54.3,0.29166666666666663,0.0,0.0,0.11666666666666665,0
7.4175,0.083,1100.0,930.0,5038.0,2.879,1.27,0.66276,2.5,690.0,0.0,0.0,0.0,0.0,0
20.501,0.164,450.0,662.0,5038.0,2.879,1.27,0.66276,2.88,179.0,0.0,0.0,0.0,0.0,0
4.030467,0.04766,116.00736855,1089.0,5191.0,0.902,0.889,-0.27084,4.74139884,235.0,0.0,0.0,0.0,0.0,0
328.24017,0.898,2129.4503269,251.0,5191.0,0.902,0.889,-0.27084,11.57887706,0.589,0.8715277777777778,0.0,0.589,0.5253111111111112,1
394.62508,1.137,298.75870258,362.7,5950.0,1.822,1.259,0.57287,8.08167508,2.86,0.7406250000000001,0.0,0.0,0.29625000000000007,0
2.253114,0.0223,0.46,620.0,3415.0,0.3155,0.2923,-1.91364,0.837,24.5,0.0,0.837,0.0,0.2511,0
2.2531136,0.02191,0.4,627.0,3415.0,0.303,0.273,-1.94769,0.85,24.7,0.0,0.85,0.0,0.255,0
3.6906764,0.0309,2.0,526.0,3415.0,0.3155,0.2923,-1.91364,1.329,12.7,0.17361111111111116,0.671,0.0,0.27074444444444445,0
3.6906777,0.0304,2.22,553.0,3415.0,0.303,0.273,-1.94769,1.385,12.8,0.07986111111111116,0.615,0.0,0.21644444444444447,0
7.4507245,0.0486,1.94,416.0,3415.0,0.303,0.273,-1.94769,1.521,5.01,0.5555555555555556,0.4790000000000001,0.0,0.36592222222222226,0
7.450729,0.0494,1.64,416.0,3415.0,0.3155,0.2923,-1.91364,1.627,4.97,0.5555555555555556,0.373,0.0,0.3341222222222222,0
24.73723,0.0946,5.6,226.0,3096.0,0.2159,0.1844,-2.42022,1.73,0.43,0.7847222222222222,0.27,0.42999999999999994,0.5238888888888888,1
24.736959,0.0936,6.98,235.0,3216.0,0.2139,0.179,-2.35556,1.727,0.503,0.8159722222222222,0.2729999999999999,0.503,0.5591888888888888,1
24.73712,0.0875,6.65,230.0,3131.0,0.186,0.146,-2.52564,1.43,0.46,0.7986111111111112,0.5700000000000001,0.45999999999999996,0.6284444444444445,1
3.777931,0.02675,1.81,438.0,3216.0,0.2139,0.179,-2.35556,1.282,6.16,0.47916666666666663,0.718,0.0,0.40706666666666663,0
3.77794,0.027,1.91,422.0,3096.0,0.2159,0.1844,-2.42022,1.272,5.3,0.5347222222222222,0.728,0.0,0.4322888888888889,0
4.9899093,0.02961,7.1,324.4,2960.0,0.182,0.139,-2.63827,2.438,2.637,0.8736111111111112,0.0,0.0,0.3494444444444445,0
2.753436,0.01992,0.9,395.5,2960.0,0.182,0.139,-2.63827,1.032,5.83,0.6267361111111112,0.968,0.0,0.5410944444444445,1
2.7299025,0.01875,13.2,396.0,2850.0,0.1556,0.118,-2.84134,1.32,4.09,0.625,0.6799999999999999,0.0,0.45399999999999996,0
8.457463,0.03984,25.3,272.0,2850.0,0.1556,0.118,-2.84134,1.367,0.906,0.9444444444444444,0.633,0.906,0.8394777777777778,1
0.76837931,0.01195,2.46,903.0,3358.0,0.38,0.381,-1.78252,1.325,111.0,0.0,0.675,0.0,0.2025,0
0.768377,0.01203,2.34,1000.0,3360.0,0.382,0.379,-1.77728,1.35,116.0,0.0,0.6499999999999999,0.0,0.19499999999999998,0
12.252284,0.0757,8.04,359.0,3358.0,0.38,0.381,-1.78252,2.39,2.76,0.7534722222222222,0.0,0.0,0.30138888888888893,0
12.252131,0.0762,6.29,397.0,3360.0,0.382,0.379,-1.77728,2.42,2.88,0.6215277777777778,0.0,0.0,0.24861111111111112,0
